Application Date,Permit Status,Permit Type,Event Category,Event Sub-Category,Name of Event,Year-Month-App#,Event Start Date,Event End Date,Event Location - Park,Event Location - Neighborhood,Council District,Precinct,Organization,Attendance
,Complete,Special Event,Athletic,Run/Walk,Resolution Run,S14JA006,01/01/2014 12:00:00 AM,01/01/2014 12:00:00 AM,Magnuson Park,Laurelhurst / Sand Point,,,"Pro-Motion Events, Inc.",1575
,Complete,Valet Parking,,,Red Carpet Valet - Aston Manor 1/3/14,S14JA034,01/03/2014 12:00:00 AM,01/03/2014 12:00:00 AM,,Duwamish / SODO,,,Red Carpet Valet,
,Complete,Valet Parking,,,Red Carpet Valet - Aston Manor 1/4/14,S14JA035,01/04/2014 12:00:00 AM,01/04/2014 12:00:00 AM,,Duwamish / SODO,,,Red Carpet Valet,
,Complete,Valet Parking,,,Red Carpet Valet - Aston Manor 1/10/14,S14JA036,01/10/2014 12:00:00 AM,01/10/2014 12:00:00 AM,,Duwamish / SODO,,,Red Carpet Valet,
,Complete,Valet Parking,,,Chihuly Boat House (1/11),S14JA042,01/11/2014 12:00:00 AM,01/11/2014 12:00:00 AM,,Wallingford,,,SPPLUS,
,Complete,Valet Parking,,,Four Park Avenue - Russell Investments,S14JA047,01/11/2014 12:00:00 AM,01/11/2014 12:00:00 AM,,Cascade / Eastlake / South Lake Union,,,Four Park Avenue,
,Complete,Valet Parking,,,Red Carpet Valet - Aston Manor 1/11/14,S14JA037,01/11/2014 12:00:00 AM,01/11/2014 12:00:00 AM,,Duwamish / SODO,,,Red Carpet Valet,
,Complete,Special Event,Commercial,,National Geographic Live! Student Matinee (1/13),S14JA023,01/13/2014 12:00:00 AM,01/13/2014 12:00:00 AM,,Downtown,,,Benaroya Hall,530
,Complete,Valet Parking,,,Chihuly Boat House (1/14),S14JA043,01/14/2014 12:00:00 AM,01/14/2014 12:00:00 AM,,Wallingford,,,SPPLUS,
,Complete,Valet Parking,,,Chihuly Boat House (1/15),S14JA044,01/15/2014 12:00:00 AM,01/15/2014 12:00:00 AM,,Wallingford,,,SPPLUS,
,Complete,Special Event,Free Speech,,Roosevelt Martin Luther King Jr. March,S14JA016,01/15/2014 12:00:00 AM,01/15/2014 12:00:00 AM,,University District,,,Roosevelt High School Black Student Union,210
,Complete,Valet Parking,,,Aegis Madison Grand Opening (1.16),S14JA052,01/16/2014 12:00:00 AM,01/16/2014 12:00:00 AM,,Central District,,,Butler Valet,150
,Complete,Special Event,Free Speech,,McDonald International School - Martin Luther King Jr. Birthday Walk,S14JA050,01/16/2014 12:00:00 AM,01/16/2014 12:00:00 AM,,Wallingford,,,McDonald International School,500
,Complete,Special Event,Free Speech,,Giddens Student March for Peace and Justice,S14JA013,01/17/2014 12:00:00 AM,01/17/2014 12:00:00 AM,,Central District,,,Giddens School,300
,Complete,Special Event,Free Speech,,ORCA K-8 MLK March,S14JA014,01/17/2014 12:00:00 AM,01/17/2014 12:00:00 AM,,Columbia City,,,ORCA K-8 School of SPS,650
,Complete,Valet Parking,,,Red Carpet Valet - Aston Manor 1/17/14,S14JA038,01/17/2014 12:00:00 AM,01/17/2014 12:00:00 AM,,Duwamish / SODO,,,Red Carpet Valet,
,Complete,Special Event,Community,,Seahawks Playoff Rally,S14JA041,01/17/2014 12:00:00 AM,01/17/2014 12:00:00 AM,Westlake Park,Downtown,,,Seattle Seahawks,2015
,Complete,Valet Parking,,,Aegis Madison Grand Opening (1.18),S14JA053,01/18/2014 12:00:00 AM,01/18/2014 12:00:00 AM,,Central District,,,Butler Valet,150
,Complete,Special Event,Free Speech,,Annual Martin Luther King Jr. March and Rally,S14JA022,01/18/2014 12:00:00 AM,01/18/2014 12:00:00 AM,OTHER,Rainier Valley,,,Seattle Parks and Recreation,
,Complete,Special Event,Free Speech,,Ethiopian Orthodox Church Annual Celebration,S14JA055,01/18/2014 12:00:00 AM,01/18/2014 12:00:00 AM,,Rainier Valley,,,Ethiopian Orthodox Tawanido Church,500
,Complete,Valet Parking,,,Red Carpet Valet - Aston Manor 1/18/14,S14JA039,01/18/2014 12:00:00 AM,01/18/2014 12:00:00 AM,,Duwamish / SODO,,,Red Carpet Valet,
,Complete,Special Event,Free Speech,,MLK March,S14JA003,01/20/2014 12:00:00 AM,01/20/2014 12:00:00 AM,Westlake Park,Central District,,,Martin Luther King Jr. Celebration Committee,5000
,Complete,Valet Parking,,,Aston Manor (1.24),S14JA056,01/24/2014 12:00:00 AM,01/24/2014 12:00:00 AM,,Duwamish / SODO,,,Red Carpet Valet,70
,Complete,Valet Parking,,,Capital One Services,S14JA069,01/24/2014 12:00:00 AM,01/24/2014 12:00:00 AM,,Cascade / Eastlake / South Lake Union,,,Four Park Avenue,
,Cancelled,Valet Parking,,,Grinstein Event,S14JA067,01/24/2014 12:00:00 AM,01/24/2014 12:00:00 AM,,Queen Anne,,,SPPLUS,
,Complete,Special Event,Community,,2014 Wing Luke Museum Lunar New Year Lion Dance,S14JA004,01/25/2014 12:00:00 AM,01/25/2014 12:00:00 AM,,International District,,,Wing Luke Museum of the Asian Pacific American Experience,325
,Complete,Valet Parking,,,Aston Manor (1.25),S14JA057,01/25/2014 12:00:00 AM,01/25/2014 12:00:00 AM,,Duwamish / SODO,,,Red Carpet Valet,70
,Complete,Special Event,Commercial,,CORT Airstream,S14JA054,01/25/2014 12:00:00 AM,01/25/2014 12:00:00 AM,,Duwamish / SODO,,,ABC Rentals by CORT,240
,Complete,Valet Parking,,,Aston Manor (1.31),S14JA058,01/31/2014 12:00:00 AM,01/31/2014 12:00:00 AM,,Duwamish / SODO,,,Red Carpet Valet,70
,Complete,Valet Parking,,,Aston Manor (2.1),S14FE059,02/01/2014 12:00:00 AM,02/01/2014 12:00:00 AM,,Duwamish / SODO,,,Red Carpet Valet,70
,Complete,Special Event,Community,,Lunar New Year Celebration,S14FE012,02/01/2014 12:00:00 AM,02/01/2014 12:00:00 AM,Hing Hay Park,International District,,,Chinatown-ID Business Improvement Area,4950
,Complete,Special Event,Athletic,Other,Polar Plunge for Special Olympics Washington,S14JA017,01/31/2014 12:00:00 AM,02/01/2014 12:00:00 AM,Golden Gardens Park,Ballard,,,Special Olympics Washington,1150
,Cancelled,Special Event,Commercial,,Rookies Superbowl Beer Garden,S14FE077,02/02/2014 12:00:00 AM,02/02/2014 12:00:00 AM,,Columbia City,,,Rookies Sports Bar and Grill,106
,Complete,Special Event,Commercial,,Seattle Boat Show on SLU (Boats Afloat),S14JA018,01/24/2014 12:00:00 AM,02/02/2014 12:00:00 AM,,Cascade / Eastlake / South Lake Union,,,Northwest Yacht Brokers Association,3000
,Complete,Special Event,Community,,Space Needle Super Bowl Fireworks,S14FE076,02/02/2014 12:00:00 AM,02/02/2014 12:00:00 AM,Seattle Center,Lower Queen Anne,,,Space Needle LLC,6
,Complete,Special Event,Community,,Seattle Seahawks Super Bowl Parade,S14FE086,02/05/2014 12:00:00 AM,02/05/2014 12:00:00 AM,Westlake Park,Downtown,,,Seattle Seahawks,300300
,Complete,Valet Parking,,,Aston Manor (2.7),S14FE060,02/07/2014 12:00:00 AM,02/07/2014 12:00:00 AM,,Duwamish / SODO,,,Red Carpet Valet,70
,Complete,Valet Parking,,,Hope Heart Institute,S14FE083,02/07/2014 12:00:00 AM,02/07/2014 12:00:00 AM,,Duwamish / SODO,,,Four Park Avenue,150
,Complete,Valet Parking,,,Aston Manor (2.8),S14FE061,02/08/2014 12:00:00 AM,02/08/2014 12:00:00 AM,,Duwamish / SODO,,,Red Carpet Valet,70
,Complete,Special Event,Athletic,Run/Walk,Love 'em or Leave 'em Valentine's Day Dash 5K,S14FE051,02/08/2014 12:00:00 AM,02/08/2014 12:00:00 AM,Greenlake Park,Green Lake,,,Pro-Motion Events,3000
,Complete,Valet Parking,,,Watermark Estate Management Services,S14FE085,02/08/2014 12:00:00 AM,02/08/2014 12:00:00 AM,,Cascade / Eastlake / South Lake Union,,,Four Park Avenue,250
,Complete,Valet Parking,,,Chihuly Boat House,S14FE078,02/11/2014 12:00:00 AM,02/11/2014 12:00:00 AM,,Wallingford,,,SPPLUS,150
,Complete,Valet Parking,,,Aston Manor (2.14),S14FE062,02/14/2014 12:00:00 AM,02/14/2014 12:00:00 AM,,Duwamish / SODO,,,Red Carpet Valet,70
,Complete,Valet Parking,,,Aston Manor (2.15),S14FE063,02/15/2014 12:00:00 AM,02/15/2014 12:00:00 AM,,Duwamish / SODO,,,Red Carpet Valet,70
,Complete,Special Event,Athletic,Run/Walk,Worldwide Walk for Victims of Typhoon Haiyan,S14FE068,02/15/2014 12:00:00 AM,02/15/2014 12:00:00 AM,Myrtle Edwards Park,Downtown,,,Felix Y Manalo Foundation,850
,Cancelled,Valet Parking,,,Aston Manor (2/21),S14FE104,02/21/2014 12:00:00 AM,02/21/2014 12:00:00 AM,,Duwamish / SODO,,,Red Carpet Valet,70
,Cancelled,Valet Parking,,,Aston Manor (2/22),S14FE105,02/22/2014 12:00:00 AM,02/22/2014 12:00:00 AM,,Duwamish / SODO,,,Red Carpet Valet,70
,Complete,Valet Parking,,,Teatro Zinzanni,S14FE111,02/22/2014 12:00:00 AM,02/22/2014 12:00:00 AM,,Queen Anne,,,Red Carpet Valet,200
,Complete,Valet Parking,,,Aston Manor (2/27),S14FE106,02/27/2014 12:00:00 AM,02/27/2014 12:00:00 AM,,Duwamish / SODO,,,Red Carpet Valet,70
,Complete,Valet Parking,,,Hillel of UW,S14FE112,02/27/2014 12:00:00 AM,02/27/2014 12:00:00 AM,,University District,,,Red Carpet Valet,225
